OD_SUBPROD_CODE,OD_FUNCTION_CODE,VERIFICATION_REQ,RELEASE_REQ
A2ASELF,AMNDSI,N,N
A2ASELF,AUTTXN,N,N
A2ASELF,CNCLSI,N,N
A2ASELF,CNTXN,N,N
A2ASELF,LOCKTXN,N,N
A2ASELF,RCTXN,N,N
A2ASELF,SNDADV,N,N
A2ASELF,SNDTXN,N,N
A2ASELF,TINVINIT,N,N
A2ASELF,TXNVER,N,N
A2ASELF,UPLOAD,N,N
A2ASELF,create,N,N
A2ASELF,inquiry,N,N
A2ASELF,siinquiry,N,N
A2ATP,AMNDSI,N,N
A2ATP,AUTTXN,N,N
A2ATP,CNCLSI,N,N
A2ATP,CNTXN,N,N
A2ATP,LOCKTXN,N,N
A2ATP,RCTXN,N,N
A2ATP,SNDADV,N,N
A2ATP,SNDTXN,N,N
A2ATP,TINVINIT,N,N
A2ATP,TXNVER,N,N
A2ATP,UPLOAD,N,N
A2ATP,create,N,N
A2ATP,inquiry,N,N
A2ATP,siinquiry,N,N
BENE,AUTTXN,N,N
BENE,BENEUPLOAD,N,N
BENE,amendbene,N,N
BENE,cnbene,N,N
BENE,crbene,N,N
BENE,inquiry,N,N
BILLPAY,AUTTXN,N,N
BILLPAY,SNDTXN,N,N
BILLPAY,TXNVER,N,N
BILLPAY,create,N,N
BILLPAY,inquiry,N,N
CBFT,AMNDSI,N,N
CBFT,AUTTXN,N,N
CBFT,CNCLSI,N,N
CBFT,CNTXN,N,N
CBFT,LOCKTXN,N,N
CBFT,RCTXN,N,N
CBFT,SNDADV,N,N
CBFT,SNDTXN,N,N
CBFT,TINVINIT,N,N
CBFT,TXNVER,N,N
CBFT,UPLOAD,N,N
CBFT,create,N,N
CBFT,inquiry,N,N
CBFT,siinquiry,N,N
DFT,AMNDSI,N,N
DFT,AUTTXN,N,N
DFT,CNCLSI,N,N
DFT,CNTXN,N,N
DFT,LOCKTXN,N,N
DFT,RCTXN,N,N
DFT,SNDADV,N,N
DFT,SNDTXN,N,N
DFT,TINVINIT,N,N
DFT,TXNVER,N,N
DFT,UPLOAD,N,N
DFT,create,N,N
DFT,inquiry,N,N
DFT,siinquiry,N,N
PAYROLL,AUTTXN,N,N
PAYROLL,CNTXN,N,N
PAYROLL,LOCKTXN,N,N
PAYROLL,SNDADV,N,N
PAYROLL,SNDTXN,N,N
PAYROLL,TINVINIT,N,N
PAYROLL,TXNVER,N,N
PAYROLL,UPLOAD,N,N
PAYROLL,hold,N,N
PAYROLL,inquiry,N,N